Epoch Time,Date,Time,Open,High,Low,Close
1609718400,20210104,00:00:00,0.771140,0.771440,0.768160,0.768695
1609722000,20210104,01:00:00,0.768695,0.771735,0.768685,0.771685
1609725600,20210104,02:00:00,0.771685,0.772155,0.771020,0.771460
1609729200,20210104,03:00:00,0.771460,0.771925,0.771240,0.771700
1609732800,20210104,04:00:00,0.771700,0.771725,0.769950,0.770275
1609736400,20210104,05:00:00,0.770275,0.770905,0.769005,0.770725
1609740000,20210104,06:00:00,0.770725,0.771575,0.770575,0.771465
1609743600,20210104,07:00:00,0.771465,0.773430,0.771380,0.772335
1609747200,20210104,08:00:00,0.772335,0.773655,0.771930,0.773650
1609750800,20210104,09:00:00,0.773650,0.774030,0.772880,0.773295
1609754400,20210104,10:00:00,0.773295,0.774080,0.773175,0.773365
1609758000,20210104,11:00:00,0.773365,0.773785,0.772245,0.772295
1609761600,20210104,12:00:00,0.772295,0.772455,0.771405,0.771585
1609765200,20210104,13:00:00,0.771585,0.772665,0.771315,0.771820
1609768800,20210104,14:00:00,0.771820,0.772275,0.770375,0.770535
1609772400,20210104,15:00:00,0.770535,0.770775,0.768035,0.768460
1609776000,20210104,16:00:00,0.768460,0.768485,0.765385,0.765505
1609779600,20210104,17:00:00,0.765505,0.766150,0.764235,0.766095
1609783200,20210104,18:00:00,0.766095,0.767035,0.765825,0.767005
1609786800,20210104,19:00:00,0.767005,0.767145,0.766285,0.767085
1609790400,20210104,20:00:00,0.767085,0.767135,0.765495,0.766395
1609794000,20210104,21:00:00,0.766395,0.766745,0.765945,0.766570
1609798500,20210104,22:15:00,0.766960,0.767390,0.766560,0.766885
1609801200,20210104,23:00:00,0.766885,0.767015,0.766215,0.766965